N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"79,000",200,-0.25%,100,"4,716,128","5,969,783",53.22,"13,866,168",18.97,9.99,
2,SK하이닉스,"114,000",0,0.00%,"5,000","829,923","728,002",48.45,"3,034,468",16.28,9.53,
3,NAVER,"439,500","2,500",-0.57%,100,"721,938","164,263",56.64,"554,132",4.48,15.22,
4,카카오,"148,500",500,+0.34%,100,"660,023","444,460",31.86,"1,752,761",216.16,2.70,
5,삼성바이오로직스,"911,000","5,000",+0.55%,"2,500","602,763","66,165",10.32,"81,874",227.18,N/A,
6,삼성전자우,"72,600",200,+0.28%,100,"597,416","822,887",75.66,"756,142",17.43,N/A,
7,LG화학,"835,000",0,0.00%,"5,000","589,446","70,592",47.04,"135,832",36.35,2.93,
8,삼성SDI,"765,000","6,000",+0.79%,"5,000","526,049","68,765",43.47,"197,227",74.93,4.54,
9,현대차,"222,000",500,-0.22%,"5,000","474,343","213,668",28.93,"484,677",26.87,2.04,
10,셀트리온,"261,500",0,0.00%,"1,000","360,652","137,917",20.39,"229,802",59.99,16.68,
11,기아,"86,300",200,+0.23%,"5,000","349,829","405,363",33.26,"1,051,724",15.50,5.05,
12,POSCO,"359,000","8,500",-2.31%,"5,000","313,001","87,187",54.46,"474,350",14.03,3.61,
13,LG전자,"166,500","2,500",+1.52%,"5,000","272,474","163,648",31.87,"763,951",15.51,13.23,
14,삼성물산,"144,000","1,500",+1.05%,100,"269,117","186,887",15.00,"612,281",17.15,3.81,
15,현대모비스,"273,000",500,+0.18%,"5,000","258,785","94,793",35.72,"199,237",14.57,4.66,
16,SK이노베이션,"258,000","2,500",-0.96%,"5,000","238,561","92,466",23.06,"355,330",-24.40,-13.58,
17,LG생활건강,"1,490,000","5,000",-0.33%,"5,000","232,711","15,618",45.69,"49,331",32.12,17.92,
18,SK텔레콤,"312,500","1,500",+0.48%,500,"225,188","72,060",46.59,"145,669",14.39,6.44,
19,KB금융,"52,600",100,+0.19%,"5,000","218,715","415,808",67.28,"1,149,657",5.47,8.53,
20,신한지주,"40,050",350,+0.88%,"5,000","206,898","516,600",60.09,"1,996,473",5.62,8.20,
21,SK,"273,000",500,-0.18%,200,"192,084","70,360",20.16,"89,274",31.79,1.11,
22,엔씨소프트,"841,000","32,000",+3.96%,500,"184,633","21,954",51.39,"130,931",39.05,20.83,
23,HMM,"40,800","1,100",-2.63%,"5,000","165,400","405,392",9.60,"3,190,351",38.67,8.93,
24,한국전력,"25,050",100,+0.40%,"5,000","160,812","641,964",15.26,"904,168",7.83,2.91,
25,SK아이이테크놀로지,"225,000","4,500",-1.96%,"1,000","160,420","71,298",7.79,"324,493",N/A,11.00,
26,삼성생명,"76,700",600,+0.79%,500,"153,400","200,000",13.12,"181,007",7.22,3.53,
